from	to	Weight
Floresta Natural|1985	Floresta Natural|1990	556360.0371
Floresta Natural|1985	Formação Natural não Florestal|1990	4569.957
Floresta Natural|1985	Infraestrutura Urbana|1990	161.8731
Floresta Natural|1985	Pastagem|1990	82169.1036
Floresta Natural|1985	Agricultura|1990	3550.7916
Floresta Natural|1985	Mosaico|1990	0
Floresta Natural|1985	Floresta Plantada|1990	0
Floresta Natural|1985	Outras Áreas não Vegetadas|1990	188.6634
Floresta Natural|1985	Corpos Hídricos|1990	5910.9291
Floresta Natural|1985	Não Observado|1990	0
Floresta Natural|1990	Floresta Natural|1998	378963.7713
Floresta Natural|1990	Formação Natural não Florestal|1998	5018.0472
Floresta Natural|1990	Infraestrutura Urbana|1998	170.8722
Floresta Natural|1990	Pastagem|1998	159137.667
Floresta Natural|1990	Agricultura|1998	11054.4201
Floresta Natural|1990	Mosaico|1998	0
Floresta Natural|1990	Floresta Plantada|1998	0
Floresta Natural|1990	Outras Áreas não Vegetadas|1998	259.974
Floresta Natural|1990	Corpos Hídricos|1998	1755.2853
Floresta Natural|1990	Não Observado|1998	0
Formação Natural não Florestal|1990	Floresta Natural|1998	1349.3313
Formação Natural não Florestal|1990	Formação Natural não Florestal|1998	2413.143
Formação Natural não Florestal|1990	Infraestrutura Urbana|1998	0
Formação Natural não Florestal|1990	Pastagem|1998	435.0645
Formação Natural não Florestal|1990	Agricultura|1998	242.8749
Formação Natural não Florestal|1990	Mosaico|1998	0
Formação Natural não Florestal|1990	Floresta Plantada|1998	0
Formação Natural não Florestal|1990	Outras Áreas não Vegetadas|1998	0
Formação Natural não Florestal|1990	Corpos Hídricos|1998	129.5433
Formação Natural não Florestal|1990	Não Observado|1998	0
Infraestrutura Urbana|1990	Floresta Natural|1998	0
Infraestrutura Urbana|1990	Formação Natural não Florestal|1998	0
Infraestrutura Urbana|1990	Infraestrutura Urbana|1998	161.8731
Infraestrutura Urbana|1990	Pastagem|1998	0
Infraestrutura Urbana|1990	Agricultura|1998	0
Infraestrutura Urbana|1990	Mosaico|1998	0
Infraestrutura Urbana|1990	Floresta Plantada|1998	0
Infraestrutura Urbana|1990	Outras Áreas não Vegetadas|1998	0
Infraestrutura Urbana|1990	Corpos Hídricos|1998	0
Infraestrutura Urbana|1990	Não Observado|1998	0
Pastagem|1990	Floresta Natural|1998	9333.3834
Pastagem|1990	Formação Natural não Florestal|1998	117.7479
Pastagem|1990	Infraestrutura Urbana|1998	81.6381
Pastagem|1990	Pastagem|1998	71669.655
Pastagem|1990	Agricultura|1998	919.0251
Pastagem|1990	Mosaico|1998	0
Pastagem|1990	Floresta Plantada|1998	0
Pastagem|1990	Outras Áreas não Vegetadas|1998	0
Pastagem|1990	Corpos Hídricos|1998	47.6541
Pastagem|1990	Não Observado|1998	0
Agricultura|1990	Floresta Natural|1998	47.7585
Agricultura|1990	Formação Natural não Florestal|1998	25.3935
Agricultura|1990	Infraestrutura Urbana|1998	0
Agricultura|1990	Pastagem|1998	696.6711
Agricultura|1990	Agricultura|1998	2780.9685
Agricultura|1990	Mosaico|1998	0
Agricultura|1990	Floresta Plantada|1998	0
Agricultura|1990	Outras Áreas não Vegetadas|1998	0
Agricultura|1990	Corpos Hídricos|1998	0
Agricultura|1990	Não Observado|1998	0
Mosaico|1990	Floresta Natural|1998	0
Mosaico|1990	Formação Natural não Florestal|1998	0
Mosaico|1990	Infraestrutura Urbana|1998	0
Mosaico|1990	Pastagem|1998	0
Mosaico|1990	Agricultura|1998	0
Mosaico|1990	Mosaico|1998	0
Mosaico|1990	Floresta Plantada|1998	0
Mosaico|1990	Outras Áreas não Vegetadas|1998	0
Mosaico|1990	Corpos Hídricos|1998	0
Mosaico|1990	Não Observado|1998	0
Floresta Plantada|1990	Floresta Natural|1998	0
Floresta Plantada|1990	Formação Natural não Florestal|1998	0
Floresta Plantada|1990	Infraestrutura Urbana|1998	0
Floresta Plantada|1990	Pastagem|1998	0
Floresta Plantada|1990	Agricultura|1998	0
Floresta Plantada|1990	Mosaico|1998	0
Floresta Plantada|1990	Floresta Plantada|1998	0
Floresta Plantada|1990	Outras Áreas não Vegetadas|1998	0
Floresta Plantada|1990	Corpos Hídricos|1998	0
Floresta Plantada|1990	Não Observado|1998	0
Outras Áreas não Vegetadas|1990	Floresta Natural|1998	0
Outras Áreas não Vegetadas|1990	Formação Natural não Florestal|1998	0
Outras Áreas não Vegetadas|1990	Infraestrutura Urbana|1998	0
Outras Áreas não Vegetadas|1990	Pastagem|1998	162.9612
Outras Áreas não Vegetadas|1990	Agricultura|1998	25.7022
Outras Áreas não Vegetadas|1990	Mosaico|1998	0
Outras Áreas não Vegetadas|1990	Floresta Plantada|1998	0
Outras Áreas não Vegetadas|1990	Outras Áreas não Vegetadas|1998	0
Outras Áreas não Vegetadas|1990	Corpos Hídricos|1998	0
Outras Áreas não Vegetadas|1990	Não Observado|1998	0
Corpos Hídricos|1990	Floresta Natural|1998	710.7921
Corpos Hídricos|1990	Formação Natural não Florestal|1998	141.0237
Corpos Hídricos|1990	Infraestrutura Urbana|1998	0
Corpos Hídricos|1990	Pastagem|1998	215.7516
Corpos Hídricos|1990	Agricultura|1998	0
Corpos Hídricos|1990	Mosaico|1998	0
Corpos Hídricos|1990	Floresta Plantada|1998	0
Corpos Hídricos|1990	Outras Áreas não Vegetadas|1998	0
Corpos Hídricos|1990	Corpos Hídricos|1998	4843.3617
Corpos Hídricos|1990	Não Observado|1998	0
Não Observado|1990	Floresta Natural|1998	0
Não Observado|1990	Formação Natural não Florestal|1998	0
Não Observado|1990	Infraestrutura Urbana|1998	0
Não Observado|1990	Pastagem|1998	0
Não Observado|1990	Agricultura|1998	0
Não Observado|1990	Mosaico|1998	0
Não Observado|1990	Floresta Plantada|1998	0
Não Observado|1990	Outras Áreas não Vegetadas|1998	0
Não Observado|1990	Corpos Hídricos|1998	0
Não Observado|1990	Não Observado|1998	0
Floresta Natural|1998	Floresta Natural|2003	254628.8667
Floresta Natural|1998	Formação Natural não Florestal|2003	4353.948
Floresta Natural|1998	Infraestrutura Urbana|2003	71.406
Floresta Natural|1998	Pastagem|2003	118138.5207
Floresta Natural|1998	Agricultura|2003	10081.6686
Floresta Natural|1998	Mosaico|2003	0
Floresta Natural|1998	Floresta Plantada|2003	0
Floresta Natural|1998	Outras Áreas não Vegetadas|2003	625.4073
Floresta Natural|1998	Corpos Hídricos|2003	2475.18
Floresta Natural|1998	Não Observado|2003	0
Formação Natural não Florestal|1998	Floresta Natural|2003	1564.6059
Formação Natural não Florestal|1998	Formação Natural não Florestal|2003	4562.2845
Formação Natural não Florestal|1998	Infraestrutura Urbana|2003	0
Formação Natural não Florestal|1998	Pastagem|2003	755.2368
Formação Natural não Florestal|1998	Agricultura|2003	570.9555
Formação Natural não Florestal|1998	Mosaico|2003	0
Formação Natural não Florestal|1998	Floresta Plantada|2003	0
Formação Natural não Florestal|1998	Outras Áreas não Vegetadas|2003	0
Formação Natural não Florestal|1998	Corpos Hídricos|2003	262.2726
Formação Natural não Florestal|1998	Não Observado|2003	0
Infraestrutura Urbana|1998	Floresta Natural|2003	0
Infraestrutura Urbana|1998	Formação Natural não Florestal|2003	0
Infraestrutura Urbana|1998	Infraestrutura Urbana|2003	414.3834
Infraestrutura Urbana|1998	Pastagem|2003	0
Infraestrutura Urbana|1998	Agricultura|2003	0
Infraestrutura Urbana|1998	Mosaico|2003	0
Infraestrutura Urbana|1998	Floresta Plantada|2003	0
Infraestrutura Urbana|1998	Outras Áreas não Vegetadas|2003	0
Infraestrutura Urbana|1998	Corpos Hídricos|2003	0
Infraestrutura Urbana|1998	Não Observado|2003	0
Pastagem|1998	Floresta Natural|2003	12524.6466
Pastagem|1998	Formação Natural não Florestal|2003	281.5038
Pastagem|1998	Infraestrutura Urbana|2003	107.2791
Pastagem|1998	Pastagem|2003	214089.2388
Pastagem|1998	Agricultura|2003	4978.0053
Pastagem|1998	Mosaico|2003	0
Pastagem|1998	Floresta Plantada|2003	0
Pastagem|1998	Outras Áreas não Vegetadas|2003	25.4367
Pastagem|1998	Corpos Hídricos|2003	311.6601
Pastagem|1998	Não Observado|2003	0
Agricultura|1998	Floresta Natural|2003	74.3517
Agricultura|1998	Formação Natural não Florestal|2003	47.3049
Agricultura|1998	Infraestrutura Urbana|2003	0
Agricultura|1998	Pastagem|2003	1541.7252
Agricultura|1998	Agricultura|2003	13359.609
Agricultura|1998	Mosaico|2003	0
Agricultura|1998	Floresta Plantada|2003	0
Agricultura|1998	Outras Áreas não Vegetadas|2003	0
Agricultura|1998	Corpos Hídricos|2003	0
Agricultura|1998	Não Observado|2003	0
Mosaico|1998	Floresta Natural|2003	0
Mosaico|1998	Formação Natural não Florestal|2003	0
Mosaico|1998	Infraestrutura Urbana|2003	0
Mosaico|1998	Pastagem|2003	0
Mosaico|1998	Agricultura|2003	0
Mosaico|1998	Mosaico|2003	0
Mosaico|1998	Floresta Plantada|2003	0
Mosaico|1998	Outras Áreas não Vegetadas|2003	0
Mosaico|1998	Corpos Hídricos|2003	0
Mosaico|1998	Não Observado|2003	0
Floresta Plantada|1998	Floresta Natural|2003	0
Floresta Plantada|1998	Formação Natural não Florestal|2003	0
Floresta Plantada|1998	Infraestrutura Urbana|2003	0
Floresta Plantada|1998	Pastagem|2003	0
Floresta Plantada|1998	Agricultura|2003	0
Floresta Plantada|1998	Mosaico|2003	0
Floresta Plantada|1998	Floresta Plantada|2003	0
Floresta Plantada|1998	Outras Áreas não Vegetadas|2003	0
Floresta Plantada|1998	Corpos Hídricos|2003	0
Floresta Plantada|1998	Não Observado|2003	0
Outras Áreas não Vegetadas|1998	Floresta Natural|2003	0
Outras Áreas não Vegetadas|1998	Formação Natural não Florestal|2003	0
Outras Áreas não Vegetadas|1998	Infraestrutura Urbana|2003	0
Outras Áreas não Vegetadas|1998	Pastagem|2003	159.0993
Outras Áreas não Vegetadas|1998	Agricultura|2003	80.0649
Outras Áreas não Vegetadas|1998	Mosaico|2003	0
Outras Áreas não Vegetadas|1998	Floresta Plantada|2003	0
Outras Áreas não Vegetadas|1998	Outras Áreas não Vegetadas|2003	20.8098
Outras Áreas não Vegetadas|1998	Corpos Hídricos|2003	0
Outras Áreas não Vegetadas|1998	Não Observado|2003	0
Corpos Hídricos|1998	Floresta Natural|2003	359.2404
Corpos Hídricos|1998	Formação Natural não Florestal|2003	62.2305
Corpos Hídricos|1998	Infraestrutura Urbana|2003	0
